index,word,x_value,y_value
159,warhorns,-2.10691316479,-4.03338652336
160,sweeter,2.63657048557,2.65817978349
161,example,2.31201341751,-0.70821050198
162,fists,-3.91532502501,-1.32897888602
163,melons,-1.82865015049,-6.58618419117
164,moonrise,0.553244716321,-0.053714230819
165,triple,1.41296460178,-3.90708259308
166,rainbowstriped,0.500982155775,-5.25316626198
167,unjust,2.61630367111,-0.992049222686
168,household,1.81951581465,2.71090492685
169,organized,2.8369904805,-3.50469801862
170,dragons,4.64754378918,-3.75188660382
171,malign,-0.290194054812,-2.74714287971
172,caution,5.23932850043,0.11000302113
173,want,4.76734920728,3.56796694889
174,wormways,0.992849831209,-4.62221775399
175,whelping,1.77681192718,-1.07600293343
176,preferably,2.25887282403,-1.87224140242
177,hog,0.779338292929,-1.3283380789
178,groaned,-1.03890796788,-1.37426655897
179,complaining,0.00935094974795,-0.283467258139
180,travel,5.33576529389,1.42977450297
181,hom,0.600271993341,0.51522893731
182,damage,4.18279809781,0.108710058562
183,how,4.87693075955,2.08574780089
184,hot,-4.43242950091,-4.34691779072
185,hop,-1.15205613033,-0.511256254528
186,dared,2.72154904657,3.42141406485
187,palaces,-4.57543376706,-4.46205406854
188,shrug,-1.16353678266,1.02827777917
189,preferable,1.45874538678,-1.73993243972
190,buckwells,1.05575653702,-3.54410725455
191,dignified,2.50326559217,-2.09223784739
192,retreating,-0.555098682484,-1.39923820261
193,gaming,-0.339422771209,-3.768410024
194,beauty,1.58517604387,3.42737020195
195,swing,-2.22555913432,-0.817121576548
196,outfight,4.68376339054,-1.23875587585
197,shores,3.18736684359,-4.68388320916
198,modest,4.07996782738,-2.96398885862
199,destined,4.58169422012,-2.58122666246
200,splashswoosh,0.548488605276,-3.30406015343
201,barristan,0.880640343574,2.45984730451
202,vance,1.03877380737,2.05853164462
203,gusty,-0.544098778278,-3.59817662113
204,calves,-2.71360337754,-2.58030008929
205,welts,-1.43193941059,-4.22053401086
206,scourge,4.91248861172,-1.04941562143
207,wins,5.82287042969,1.27419592226
208,mohor,0.618636324807,-3.07979909313
209,revolt,2.37954172991,-3.78585747984
210,season,3.30101665155,1.89971970247
211,benfred,4.15179045534,-0.0174222122142
212,sickening,-2.20233542372,-4.89852116483
213,baggage,-0.535084105921,-5.74646652997
214,benfrey,1.21705106244,-0.0622628515524
215,snowballs,0.457562269947,0.537730567051
216,addam,0.933678021053,2.10359266276
217,keeps,2.76694608615,1.1137156453
218,viserys,1.65667331764,3.41768499378
219,wing,-1.56310062578,-2.49928872481
220,wind,-5.00221297842,-2.46102062503
221,wine,-3.46216847064,1.18467837326
222,sprawling,-2.09548263104,-2.63466900797
223,pinkeye,-0.170678361049,2.18344908483
224,welcomed,4.53480178561,1.09440440185
225,dreamed,-0.221037627797,3.9308628879
226,profaned,2.81540378445,-2.8965259208
227,silverblond,-1.29966109272,-3.39762367025
228,rewarded,5.7682534641,1.84171721227
229,wrought,-2.75598717625,-2.41083255888
230,admirably,4.18886600472,-1.51141212915
231,fit,3.85359366515,1.81010931598
232,allisers,0.429642539655,0.4619889394
233,screaming,-4.16534611528,-0.678796382116
234,fix,6.23476807547,0.0117987452059
235,quentyns,4.36952564593,-1.87399287306
236,survivors,1.78080497325,1.92047758469
237,septry,-3.37262472877,-4.23688579149
238,narrowest,-0.585596067854,-4.36073113629
239,fig,5.39114079256,0.451058264278
240,mewling,3.27431020271,-0.858222914687
241,nobler,4.45783716713,-1.23115115261
242,walda,0.527482019,2.34674048453
243,hidden,-3.97184015468,-4.15100084712
244,admirable,2.01942345972,-0.626398250417
245,easier,3.63176660493,2.5698994546
246,hawthorn,-2.80073347098,-5.16134888925
247,grievous,4.37043709491,1.99219537955
248,corridor,-1.16683802176,-3.82944492208
249,thrones,4.21868010938,-3.88812076631
250,lambert,1.0152619933,1.25595437473
251,biding,2.57513682023,-0.53269924224
252,slate,-4.56813170068,-4.24507187636
